time,n_maps,n_reduces,n_shuffles
0.00100,1,0,0
0.00400,2,0,0
0.00700,3,0,0
0.00900,4,0,0
0.01200,5,0,0
0.01400,6,0,0
0.01700,7,0,0
0.02000,8,0,0
0.02200,9,0,0
0.02500,10,0,0
0.02700,11,0,0
0.03000,12,0,0
0.03300,13,0,0
0.03500,14,0,0
0.03800,15,0,0
0.04000,16,0,0
0.04300,17,0,0
0.04600,18,0,0
0.04800,19,0,0
0.05100,20,0,0
0.05300,21,0,0
0.05600,22,0,0
0.05900,23,0,0
0.06100,24,0,0
0.06400,25,0,0
0.06600,26,0,0
0.06900,27,0,0
0.07200,28,0,0
0.07400,29,0,0
0.07700,30,0,0
0.07900,31,0,0
0.08200,32,0,0
3.00300,33,0,0
3.00500,34,0,0
3.00800,35,0,0
3.01000,36,0,0
3.01300,37,0,0
3.01800,38,0,0
3.02100,39,0,0
3.02300,40,0,0
3.02600,41,0,0
3.02900,42,0,0
3.03100,43,0,0
3.03400,44,0,0
3.03600,45,0,0
3.03900,46,0,0
3.04200,47,0,0
3.04400,48,0,0
3.04700,49,0,0
3.04900,50,0,0
3.05200,51,0,0
3.05500,52,0,0
3.05700,53,0,0
3.06000,54,0,0
3.06200,55,0,0
3.06500,56,0,0
3.06800,57,0,0
3.07000,58,0,0
3.07300,59,0,0
3.07500,60,0,0
3.07800,61,0,0
3.08100,62,0,0
3.08300,63,0,0
53.76200,63,0,0
54.08700,63,0,0
54.10800,63,0,0
54.21400,62,0,0
54.23600,61,0,0
54.30700,60,0,0
54.60300,59,0,0
54.70800,58,0,0
55.13200,57,0,0
56.25000,56,0,0
56.36900,55,0,0
56.70000,54,0,0
56.76400,53,0,0
57.02600,53,0,0
57.04200,54,0,0
57.04900,55,0,0
57.06500,56,0,0
57.06800,57,0,0
57.07800,58,0,0
57.08100,59,0,0
57.08600,60,0,0
57.08800,61,0,0
57.09400,62,0,0
57.10400,63,0,0
57.10900,63,0,0
57.21500,62,0,0
57.23700,61,0,0
57.30800,60,0,0
57.32200,59,0,0
57.52400,58,0,0
57.60400,57,0,0
57.70900,56,0,0
57.76700,55,0,0
57.84000,54,0,0
58.13300,53,0,0
58.18600,52,0,0
58.46400,51,0,0
59.01100,50,0,0
59.25200,49,0,0
59.30400,48,0,0
59.36000,47,0,0
59.37000,46,0,0
59.43500,45,0,0
59.70100,44,0,0
59.98900,43,0,0
60.02700,43,0,0
60.02900,43,0,1
60.03500,43,0,2
60.04300,44,0,2
60.04400,44,0,3
60.04700,45,0,3
60.04800,45,0,4
60.05100,46,0,4
60.05200,46,0,5
60.05500,47,0,5
60.05600,47,0,6
60.05900,48,0,6
60.06000,48,0,7
60.06200,49,0,7
60.06400,49,0,8
60.06600,50,0,8
60.06800,50,0,9
60.07000,51,0,9
60.07200,51,0,10
60.07400,51,0,11
60.07700,52,0,11
60.07800,52,0,12
60.08100,53,0,12
60.08200,53,0,13
60.08500,53,0,14
60.08700,54,0,14
60.08800,54,0,15
60.09100,55,0,15
60.09200,55,0,16
60.09500,56,0,16
60.09600,56,0,17
60.09900,57,0,17
60.10000,57,0,18
60.10300,58,0,18
60.10400,58,0,19
60.10700,59,0,19
60.10800,59,0,20
60.11100,59,0,21
60.11300,60,0,21
60.11400,60,0,22
60.11700,61,0,22
60.11800,61,0,23
60.12100,61,0,24
60.12400,62,0,24
60.12500,62,0,25
60.12700,62,0,26
60.13000,63,0,26
60.13100,63,0,27
60.13400,63,0,28
60.28200,63,0,28
60.32300,62,0,28
60.50400,61,0,28
60.52500,60,0,28
60.76900,59,0,28
60.84200,58,0,28
61.18700,57,0,28
61.46600,56,0,28
62.01200,55,0,28
62.30500,54,0,28
62.36200,53,0,28
62.43700,52,0,28
62.59800,51,0,28
62.99000,50,0,28
63.04400,49,0,29
63.04800,50,0,29
63.04900,50,0,30
63.05200,51,0,30
63.05300,51,0,31
63.05600,51,0,32
63.06000,52,0,32
63.06100,52,0,33
63.06400,53,0,33
63.06500,53,0,34
63.06800,54,0,34
63.06900,54,0,35
63.07200,55,0,35
63.07300,55,0,36
63.07500,55,0,37
63.07800,55,0,38
63.08200,55,0,39
63.08600,55,0,40
63.08800,56,0,40
63.09000,56,0,41
63.09200,57,0,41
63.09400,57,0,42
63.09600,57,0,43
63.10000,57,0,44
63.10400,58,0,44
63.10500,58,0,45
63.10800,58,0,46
63.11200,58,0,47
63.11400,59,0,47
63.11600,59,0,48
63.11800,59,0,49
63.12200,60,0,49
63.12400,60,0,50
63.12600,61,0,50
63.12700,61,0,51
63.13000,62,0,51
63.13100,62,0,52
63.13400,62,0,53
63.13700,62,0,54
63.20700,62,0,54
63.28400,61,0,54
63.41500,60,0,54
63.50500,59,0,54
63.67100,58,0,54
65.59900,57,0,54
66.07700,57,0,54
66.08700,58,0,54
66.12400,59,0,54
66.13100,60,0,54
66.13800,61,0,54
66.20800,61,0,54
66.41700,60,0,54
66.67200,59,0,54
69.07800,59,0,54
69.08800,60,0,54
69.13900,61,0,54
107.78600,61,0,54
107.78600,61,0,54
108.13100,60,0,54
110.78700,60,0,54
110.78700,60,0,54
111.13200,58,0,54
111.13200,58,0,54
111.13400,57,0,54
111.23900,57,0,54
111.33200,56,0,54
111.73300,55,0,54
112.15700,54,0,54
113.27500,53,0,54
113.27500,53,0,54
113.39400,51,0,54
113.72400,50,0,54
113.72400,50,0,54
114.07800,49,0,54
114.10000,50,0,54
114.10400,51,0,54
114.11800,52,0,54
114.12200,53,0,54
114.13000,54,0,54
114.14100,55,0,54
114.15000,55,0,54
114.15600,55,0,54
114.24400,55,0,54
114.35300,54,0,54
114.75900,53,0,54
115.18000,52,0,54
116.28800,51,0,54
116.40600,50,0,54
116.74300,49,0,54
117.07900,49,0,54
117.10100,50,0,54
117.10500,51,0,54
117.12000,52,0,54
117.12400,53,0,54
117.13100,54,0,54
117.14200,55,0,54
117.15700,56,0,54
117.36600,56,0,54
117.80100,55,0,54
117.87300,54,0,54
118.22600,53,0,54
118.49600,52,0,54
119.06000,51,0,54
119.34300,50,0,54
119.38900,49,0,54
119.48200,48,0,54
120.02400,47,0,54
120.07700,47,0,54
120.08500,48,0,54
120.08800,49,0,54
120.09200,50,0,54
120.09600,51,0,54
120.11300,52,0,54
120.11700,53,0,54
120.12900,54,0,54
120.14000,55,0,54
120.15100,56,0,54
120.36700,56,0,54
120.80300,55,0,54
120.87400,54,0,54
121.22700,53,0,54
121.49700,52,0,54
122.06300,51,0,54
122.34400,50,0,54
122.39000,49,0,54
122.48400,48,0,54
123.02500,47,0,54
123.07800,47,0,54
123.08600,48,0,54
123.09000,49,0,54
123.09400,50,0,54
123.09800,51,0,54
123.11400,52,0,54
123.11800,53,0,54
123.13000,54,0,54
123.14100,55,0,54
123.15200,56,0,54
123.55700,56,0,54
125.64800,55,0,54
126.15000,55,0,54
126.15700,56,0,54
126.55900,56,0,54
128.65000,55,0,54
129.15100,55,0,54
129.15900,56,0,54
129.24800,56,0,54
129.47100,55,0,54
129.71000,54,0,54
132.10500,54,0,54
132.11600,55,0,54
132.16700,56,0,54
132.25000,56,0,54
132.47300,55,0,54
132.71100,54,0,54
135.10700,54,0,54
135.11700,55,0,54
135.16800,56,0,54
161.83000,56,0,54
161.83000,56,0,54
162.15600,55,0,54
164.83200,55,0,54
164.83200,55,0,54
165.15700,54,0,54
168.17300,54,0,54
168.26700,53,0,54
168.37600,52,0,54
168.78500,51,0,54
169.20300,50,0,54
170.31200,49,0,54
170.31200,49,0,54
170.42900,47,0,54
170.76600,46,0,54
171.10300,46,0,54
171.12500,47,0,54
171.12900,48,0,54
171.14300,49,0,54
171.14700,50,0,54
171.15500,51,0,54
171.16500,52,0,54
171.17400,52,0,54
171.18100,52,0,54
171.26900,52,0,54
171.37700,51,0,54
171.78600,50,0,54
172.20500,49,0,54
173.31300,48,0,54
173.43000,47,0,54
173.76700,46,0,54
174.10400,46,0,54
174.12600,47,0,54
174.13000,48,0,54
174.14400,49,0,54
174.14800,50,0,54
174.15600,51,0,54
174.16700,52,0,54
174.18200,53,0,54
177.39200,53,0,54
177.82700,52,0,54
177.89900,51,0,54
178.25200,50,0,54
178.25200,50,0,54
178.25200,50,0,54
178.52200,47,0,54
179.08700,46,0,54
179.36900,45,0,54
179.41500,44,0,54
179.41500,44,0,54
179.41500,44,0,54
179.50900,41,0,54
180.05000,40,0,54
180.05000,40,0,54
180.10300,39,0,54
180.11100,40,0,54
180.11400,41,0,54
180.11800,42,0,54
180.12200,43,0,54
180.13900,44,0,54
180.14300,45,0,54
180.15500,46,0,54
180.16600,47,0,54
180.17700,48,0,54
180.39300,48,0,54
180.82900,47,0,54
180.90000,46,0,54
181.25300,45,0,54
181.52300,44,0,54
182.08900,43,0,54
182.37000,42,0,54
182.41600,41,0,54
182.51000,40,0,54
183.05100,39,0,54
183.10400,39,0,54
183.11200,40,0,54
183.11600,41,0,54
183.12000,42,0,54
183.12400,43,0,54
183.14100,44,0,54
183.14400,45,0,54
183.15600,46,0,54
183.16700,47,0,54
183.17800,48,0,54
186.58500,48,0,54
188.67600,47,0,54
189.17700,47,0,54
189.18500,48,0,54
189.58600,48,0,54
191.67700,47,0,54
192.17800,47,0,54
192.18600,48,0,54
195.27700,48,0,54
195.50000,47,0,54
195.73900,46,0,54
198.13400,46,0,54
198.14400,47,0,54
198.19500,48,0,54
198.27800,48,0,54
198.50100,47,0,54
198.74000,46,0,54
201.13500,46,0,54
201.14600,47,0,54
201.19600,48,0,54
215.85400,48,0,54
216.17900,48,0,54
218.85600,48,0,54
219.18000,48,0,54
225.19800,48,0,54
225.40100,47,0,54
225.80900,46,0,54
226.22800,45,0,54
227.33600,44,0,54
227.45400,43,0,54
227.79100,42,0,54
228.15000,42,0,54
228.15400,43,0,54
228.16800,44,0,54
228.17200,45,0,54
228.18000,46,0,54
228.19000,47,0,54
228.19900,47,0,54
228.20600,47,0,54
228.40200,47,0,54
228.81100,46,0,54
229.22900,45,0,54
230.33800,44,0,54
230.45500,43,0,54
230.79200,42,0,54
231.15500,42,0,54
231.16900,43,0,54
231.17300,44,0,54
231.18100,45,0,54
231.19100,46,0,54
231.20700,47,0,54
237.41800,47,0,54
237.85300,46,0,54
237.92500,45,0,54
238.27800,44,0,54
238.54800,43,0,54
239.11300,42,0,54
239.39500,41,0,54
239.44100,40,0,54
239.53500,39,0,54
240.07600,38,0,54
240.12900,38,0,54
240.13700,39,0,54
240.14100,40,0,54
240.14400,41,0,54
240.14800,42,0,54
240.16500,43,0,54
240.16900,44,0,54
240.19200,45,0,54
240.20300,46,0,54
240.41900,46,0,54
240.85500,45,0,54
240.92600,44,0,54
241.27900,43,0,54
241.54900,42,0,54
242.11500,41,0,54
242.39600,40,0,54
242.44200,39,0,54
242.53600,38,0,54
243.07700,37,0,54
243.13000,37,0,54
243.13800,38,0,54
243.14200,39,0,54
243.15000,40,0,54
243.16700,41,0,54
243.17000,42,0,54
243.19300,43,0,54
243.20400,44,0,54
249.61200,44,0,54
251.70300,43,0,54
252.20400,43,0,54
252.21200,44,0,54
