time,n_maps,n_reduces,n_shuffles
0.00100,1,0,0
0.00400,2,0,0
0.00700,3,0,0
0.00900,4,0,0
0.01200,5,0,0
0.01400,6,0,0
0.01700,7,0,0
0.02000,8,0,0
0.02200,9,0,0
0.02500,10,0,0
0.02700,11,0,0
0.03000,12,0,0
0.03300,13,0,0
0.03500,14,0,0
0.03800,15,0,0
0.04000,16,0,0
0.04300,17,0,0
0.04600,18,0,0
0.04800,19,0,0
0.05100,20,0,0
0.05300,21,0,0
0.05600,22,0,0
0.05900,23,0,0
0.06100,24,0,0
0.06400,25,0,0
0.06600,26,0,0
0.06900,27,0,0
0.07200,28,0,0
0.07400,29,0,0
0.07700,30,0,0
0.07900,31,0,0
0.08200,32,0,0
0.08500,33,0,0
0.08700,34,0,0
0.09000,35,0,0
0.09200,36,0,0
0.09500,37,0,0
0.09800,38,0,0
0.10000,39,0,0
0.10300,40,0,0
0.10500,41,0,0
0.10800,42,0,0
0.11100,43,0,0
0.11300,44,0,0
0.11600,45,0,0
0.11800,46,0,0
0.12100,47,0,0
0.12400,48,0,0
0.12600,49,0,0
0.12900,50,0,0
0.13100,51,0,0
0.13400,52,0,0
0.13700,53,0,0
0.13900,54,0,0
0.14200,55,0,0
0.14400,56,0,0
0.14700,57,0,0
0.15000,58,0,0
0.15200,59,0,0
0.15500,60,0,0
0.15700,61,0,0
0.16000,62,0,0
0.16300,63,0,0
0.16500,64,0,0
0.16800,64,0,0
0.18900,63,0,0
0.20200,62,0,0
0.20400,61,0,0
0.20600,60,0,0
0.21200,59,0,0
0.22400,58,0,0
0.23100,57,0,0
0.23200,56,0,0
0.23300,55,0,0
0.23600,54,0,0
0.23900,53,0,0
0.24100,52,0,0
0.24200,51,0,0
0.24500,50,0,0
0.25100,49,0,0
0.25300,48,0,0
0.25600,47,0,0
0.25800,46,0,0
0.25900,45,0,0
0.26000,44,0,0
0.26700,43,0,0
0.27100,42,0,0
0.27200,41,0,0
0.29300,40,0,0
0.29800,39,0,0
0.30100,38,0,0
0.31000,37,0,0
0.31500,36,0,0
0.32000,35,0,0
0.32200,34,0,0
0.32300,33,0,0
0.32400,32,0,0
0.32700,31,0,0
0.33200,30,0,0
0.33500,29,0,0
0.33700,28,0,0
0.33800,27,0,0
0.33900,26,0,0
0.34100,25,0,0
0.34600,24,0,0
0.35600,23,0,0
0.35800,22,0,0
0.36500,21,0,0
0.37100,20,0,0
0.37200,19,0,0
0.37700,18,0,0
0.38500,17,0,0
0.38900,16,0,0
0.39100,15,0,0
0.39200,14,0,0
0.39300,13,0,0
0.39900,12,0,0
0.40300,11,0,0
0.40500,10,0,0
0.40600,9,0,0
0.40900,8,0,0
0.41500,7,0,0
0.42400,6,0,0
0.43800,5,0,0
0.47500,4,0,0
0.51400,3,0,0
0.51700,2,0,0
0.52300,1,0,0
3.00300,1,0,0
3.00400,1,0,1
3.00700,2,0,1
3.00800,2,0,2
3.01000,3,0,2
3.01200,3,0,3
3.01400,4,0,3
3.01600,4,0,4
3.01800,5,0,4
3.02000,5,0,5
3.02200,6,0,5
3.02300,6,0,6
3.02600,7,0,6
3.02700,7,0,7
3.03000,8,0,7
3.03100,8,0,8
3.03400,9,0,8
3.03500,9,0,9
3.03800,10,0,9
3.03900,10,0,10
3.04200,11,0,10
3.04300,11,0,11
3.04600,12,0,11
3.04700,12,0,12
3.04900,13,0,12
3.05100,13,0,13
3.05300,14,0,13
3.05500,14,0,14
3.05700,15,0,14
3.05900,15,0,15
3.06100,16,0,15
3.06200,16,0,16
3.06500,17,0,16
3.06600,17,0,17
3.06900,18,0,17
3.07000,18,0,18
3.07300,19,0,18
3.07400,19,0,19
3.07700,20,0,19
3.07800,20,0,20
3.08100,21,0,20
3.08200,21,0,21
3.08500,22,0,21
3.08600,22,0,22
3.08800,23,0,22
3.09000,23,0,23
3.09200,24,0,23
3.09400,24,0,24
3.09600,25,0,24
3.09800,25,0,25
3.10000,26,0,25
3.10100,26,0,26
3.10400,27,0,26
3.10500,27,0,27
3.10800,28,0,27
3.10900,28,0,28
3.11200,29,0,28
3.11300,29,0,29
3.11600,30,0,29
3.11700,30,0,30
3.12000,31,0,30
3.12100,31,0,31
3.12400,32,0,31
3.12500,32,0,32
3.12700,33,0,32
3.12900,33,0,33
3.13100,34,0,33
3.13300,34,0,34
3.13500,35,0,34
3.13700,35,0,35
3.13900,36,0,35
3.14100,36,0,36
3.14300,37,0,36
3.14400,37,0,37
3.14700,38,0,37
3.14800,38,0,38
3.15100,39,0,38
3.15200,39,0,39
3.15500,40,0,39
3.15600,40,0,40
3.15900,41,0,40
3.16000,41,0,41
3.16300,42,0,41
3.16400,42,0,42
3.16700,43,0,42
3.16800,43,0,43
3.17000,44,0,43
3.17200,44,0,44
3.17400,45,0,44
3.17600,45,0,45
3.17800,46,0,45
3.18000,46,0,46
3.18200,47,0,46
3.18300,47,0,47
3.18600,48,0,47
3.18700,48,0,48
3.19000,49,0,48
3.19100,49,0,49
3.19400,50,0,49
3.19500,50,0,50
3.19800,51,0,50
3.19900,51,0,51
3.20200,52,0,51
3.20300,52,0,52
3.20600,53,0,52
3.20700,53,0,53
3.20900,54,0,53
3.21100,54,0,54
3.21300,55,0,54
3.21500,55,0,55
3.21700,56,0,55
3.21900,56,0,56
3.22100,57,0,56
3.22200,57,0,57
3.22500,58,0,57
3.22600,58,0,58
3.22900,59,0,58
3.23000,59,0,59
3.23300,60,0,59
3.23400,60,0,60
3.23700,61,0,60
3.23800,61,0,61
3.24100,62,0,61
3.24200,62,0,62
3.24500,63,0,62
3.24600,63,0,63
3.24800,64,0,63
3.25000,64,0,64
3.25200,64,0,64
3.25400,63,0,64
3.25500,62,0,64
3.25600,61,0,64
3.25800,60,0,64
3.25900,59,0,64
3.26000,58,0,64
3.26200,57,0,64
3.26300,56,0,64
3.26400,55,0,64
3.26500,54,0,64
3.26700,53,0,64
3.27200,52,0,64
3.27300,51,0,64
3.27500,50,0,64
3.28200,49,0,64
3.28500,48,0,64
3.28600,47,0,64
3.28800,46,0,64
3.29100,45,0,64
3.29200,44,0,64
3.29400,43,0,64
3.29900,42,0,64
3.30300,41,0,64
3.30600,40,0,64
3.32300,39,0,64
3.34800,38,0,64
3.36300,37,0,64
3.36500,36,0,64
3.36700,35,0,64
3.37000,34,0,64
3.37400,33,0,64
3.37500,32,0,64
3.37700,31,0,64
3.37800,30,0,64
3.38500,29,0,64
3.38700,28,0,64
3.38800,27,0,64
3.39000,26,0,64
3.39300,25,0,64
3.39400,24,0,64
3.39500,23,0,64
3.40700,22,0,64
3.41000,21,0,64
3.41400,20,0,64
3.42100,19,0,64
3.43500,18,0,64
3.44000,17,0,64
3.44100,16,0,64
3.44200,15,0,64
3.44500,14,0,64
3.44600,13,0,64
3.44900,12,0,64
3.45000,11,0,64
3.45200,10,0,64
3.45700,9,0,64
3.48700,8,0,64
3.48800,7,0,64
3.48900,6,0,64
3.51200,5,0,64
3.54700,4,0,64
3.56200,3,0,64
3.58400,2,0,64
3.60200,1,0,64
6.00400,1,0,64
6.00500,1,0,65
6.00800,2,0,65
6.00900,2,0,66
6.01200,3,0,66
6.01300,3,0,67
6.01600,4,0,67
6.01700,4,0,68
6.02000,5,0,68
6.02100,5,0,69
6.02300,6,0,69
6.02500,6,0,70
6.02700,7,0,70
6.02900,7,0,71
6.03100,8,0,71
6.03300,8,0,72
6.03500,9,0,72
6.03600,9,0,73
6.03900,10,0,73
6.04000,10,0,74
6.04300,11,0,74
6.04400,11,0,75
6.04700,12,0,75
6.04800,12,0,76
6.05100,13,0,76
6.05200,13,0,77
6.05500,14,0,77
6.05600,14,0,78
6.05900,15,0,78
6.06000,15,0,79
6.06200,16,0,79
6.06400,16,0,80
6.06600,17,0,80
6.06800,17,0,81
6.07000,18,0,81
6.07200,18,0,82
6.07400,19,0,82
6.07500,19,0,83
6.07800,20,0,83
6.07900,20,0,84
6.08200,21,0,84
6.08300,21,0,85
6.08600,22,0,85
6.08700,22,0,86
6.09000,23,0,86
6.09100,23,0,87
6.09400,24,0,87
6.09500,24,0,88
6.09800,25,0,88
6.09900,25,0,89
6.10100,26,0,89
6.10300,26,0,90
6.10500,27,0,90
6.10700,27,0,91
6.10900,28,0,91
6.11100,28,0,92
6.11300,29,0,92
6.11400,29,0,93
6.11700,30,0,93
6.11800,30,0,94
6.12100,31,0,94
6.12200,31,0,95
6.12500,32,0,95
6.12600,32,0,96
6.12900,33,0,96
6.13000,33,0,97
6.13300,34,0,97
6.13400,34,0,98
6.13700,35,0,98
6.13800,35,0,99
6.14100,36,0,99
6.14200,36,0,100
6.14400,37,0,100
6.14600,37,0,101
6.14800,38,0,101
6.15000,38,0,102
6.15200,39,0,102
6.15400,39,0,103
6.15600,40,0,103
6.15700,40,0,104
6.16000,41,0,104
6.16100,41,0,105
6.16400,42,0,105
6.16500,42,0,106
6.16800,43,0,106
6.16900,43,0,107
6.17200,44,0,107
6.17300,44,0,108
6.17600,45,0,108
6.17700,45,0,109
6.18000,45,0,109
6.18100,45,0,109
6.18200,45,0,110
6.18500,46,0,110
6.18600,46,0,111
6.18900,47,0,111
6.19000,47,0,112
6.19300,48,0,112
6.19400,48,0,113
6.19600,49,0,113
6.19800,49,0,114
6.20000,50,0,114
6.20200,50,0,115
6.20400,51,0,115
6.20600,51,0,116
6.20800,52,0,116
6.20900,52,0,117
6.21200,52,0,117
6.21300,52,0,117
6.21500,52,0,118
6.21700,53,0,118
6.21900,53,0,119
6.22100,54,0,119
6.22200,54,0,120
6.22500,54,0,120
6.22600,54,0,120
6.22800,54,0,121
6.23000,55,0,121
6.23200,55,0,122
6.23400,56,0,122
6.23500,56,0,123
6.23800,57,0,123
6.23900,57,0,124
6.24200,57,0,124
6.24300,57,0,124
6.24500,57,0,125
6.24700,57,0,125
6.24800,56,0,125
6.25000,56,0,125
6.25100,56,0,126
6.25400,57,0,126
6.25500,57,0,127
6.25800,57,0,127
6.25900,57,0,127
6.26000,57,0,128
6.26300,57,0,128
6.26400,56,0,128
6.26500,55,0,128
6.26700,54,0,128
6.26800,53,0,128
6.27300,52,0,128
6.27400,51,0,128
6.27700,50,0,128
6.28300,49,0,128
6.28600,48,0,128
6.28800,47,0,128
6.28900,46,0,128
6.29200,45,0,128
6.29400,44,0,128
6.29500,43,0,128
6.30000,42,0,128
6.30400,41,0,128
6.30800,40,0,128
6.32400,39,0,128
6.34900,38,0,128
6.36400,37,0,128
6.36600,36,0,128
6.36800,35,0,128
6.37100,34,0,128
6.37500,33,0,128
6.37700,32,0,128
6.37800,31,0,128
6.38000,30,0,128
6.38600,29,0,128
6.38900,28,0,128
6.39100,27,0,128
6.39200,26,0,128
6.39500,25,0,128
6.39700,24,0,128
6.39800,23,0,128
6.40800,22,0,128
6.41100,21,0,128
6.41500,20,0,128
6.42400,19,0,128
6.43600,18,0,128
6.44300,17,0,128
6.44500,16,0,128
6.44800,15,0,128
6.44900,14,0,128
6.45000,13,0,128
6.45200,12,0,128
6.45300,11,0,128
6.45400,10,0,128
6.46000,9,0,128
