mra_phase,task_id,worker_id,time,action,shuffle_mra_end
0_0_0,MRA_MAP,0,0.001,START,
0_5_0,MRA_MAP,1,0.004,START,
0_6_0,MRA_MAP,2,0.007,START,
0_7_0,MRA_MAP,3,0.009,START,
0_4_0,MRA_MAP,4,0.012,START,
0_18_0,MRA_MAP,5,0.014,START,
0_16_0,MRA_MAP,6,0.017,START,
0_23_0,MRA_MAP,7,0.020,START,
0_8_0,MRA_MAP,8,0.022,START,
0_3_0,MRA_MAP,9,0.025,START,
0_2_0,MRA_MAP,10,0.027,START,
0_9_0,MRA_MAP,11,0.030,START,
0_20_0,MRA_MAP,12,0.033,START,
0_33_0,MRA_MAP,13,0.035,START,
0_10_0,MRA_MAP,14,0.038,START,
0_1_0,MRA_MAP,15,0.040,START,
0_11_0,MRA_MAP,16,0.043,START,
0_27_0,MRA_MAP,17,0.046,START,
0_19_0,MRA_MAP,18,0.048,START,
0_24_0,MRA_MAP,19,0.051,START,
0_13_0,MRA_MAP,20,0.053,START,
0_28_0,MRA_MAP,21,0.056,START,
0_29_0,MRA_MAP,22,0.059,START,
0_15_0,MRA_MAP,23,0.061,START,
0_12_0,MRA_MAP,24,0.064,START,
0_21_0,MRA_MAP,25,0.066,START,
0_17_0,MRA_MAP,26,0.069,START,
0_25_0,MRA_MAP,27,0.072,START,
0_66_0,MRA_MAP,28,0.074,START,
0_65_0,MRA_MAP,29,0.077,START,
0_30_0,MRA_MAP,30,0.079,START,
0_64_0,MRA_MAP,31,0.082,START,
0_68_0,MRA_MAP,0,3.003,START,
0_14_0,MRA_MAP,1,3.005,START,
0_22_0,MRA_MAP,2,3.008,START,
0_26_0,MRA_MAP,3,3.010,START,
0_31_0,MRA_MAP,4,3.013,START,
0_46_0,MRA_MAP,6,3.018,START,
0_54_0,MRA_MAP,7,3.021,START,
0_32_0,MRA_MAP,8,3.023,START,
0_69_0,MRA_MAP,9,3.026,START,
0_38_0,MRA_MAP,10,3.029,START,
0_35_0,MRA_MAP,11,3.031,START,
0_77_0,MRA_MAP,12,3.034,START,
0_37_0,MRA_MAP,13,3.036,START,
0_34_0,MRA_MAP,14,3.039,START,
0_67_0,MRA_MAP,15,3.042,START,
0_36_0,MRA_MAP,16,3.044,START,
0_79_0,MRA_MAP,17,3.047,START,
0_78_0,MRA_MAP,18,3.049,START,
0_63_0,MRA_MAP,19,3.052,START,
0_39_0,MRA_MAP,20,3.055,START,
0_40_0,MRA_MAP,21,3.057,START,
0_81_0,MRA_MAP,22,3.060,START,
0_43_0,MRA_MAP,23,3.062,START,
0_41_0,MRA_MAP,24,3.065,START,
0_84_0,MRA_MAP,25,3.068,START,
0_49_0,MRA_MAP,26,3.070,START,
0_62_0,MRA_MAP,27,3.073,START,
0_82_0,MRA_MAP,28,3.075,START,
0_80_0,MRA_MAP,29,3.078,START,
0_42_0,MRA_MAP,30,3.081,START,
0_101_0,MRA_MAP,31,3.083,START,
0_12_0,MRA_MAP,24,53.762,END,0.000
0_14_1,MRA_MAP,24,54.087,START,
0_13_0,MRA_MAP,20,54.108,END,0.000
0_3_0,MRA_MAP,9,54.214,END,0.000
0_16_0,MRA_MAP,6,54.236,END,0.000
0_15_0,MRA_MAP,23,54.307,END,0.000
0_0_0,MRA_MAP,0,54.603,END,0.000
0_30_0,MRA_MAP,30,54.708,END,0.000
0_17_0,MRA_MAP,26,55.132,END,0.000
0_11_0,MRA_MAP,16,56.250,END,0.000
0_1_0,MRA_MAP,15,56.369,END,0.000
0_28_0,MRA_MAP,21,56.700,END,0.000
0_41_0,MRA_MAP,24,56.764,END,0.000
0_4_1,MRA_MAP,0,57.026,START,
0_47_0,MRA_MAP,6,57.042,START,
0_70_0,MRA_MAP,9,57.049,START,
0_89_0,MRA_MAP,15,57.065,START,
0_6_1,MRA_MAP,16,57.068,START,
0_22_1,MRA_MAP,20,57.078,START,
0_5_1,MRA_MAP,21,57.081,START,
0_48_0,MRA_MAP,23,57.086,START,
0_31_1,MRA_MAP,24,57.088,START,
0_51_0,MRA_MAP,26,57.094,START,
0_45_0,MRA_MAP,30,57.104,START,
0_39_0,MRA_MAP,20,57.109,END,0.000
0_69_0,MRA_MAP,9,57.215,END,0.000
0_46_0,MRA_MAP,6,57.237,END,0.000
0_43_0,MRA_MAP,23,57.308,END,0.000
0_29_0,MRA_MAP,22,57.322,END,0.000
0_23_0,MRA_MAP,7,57.524,END,0.000
0_68_0,MRA_MAP,0,57.604,END,0.000
0_42_0,MRA_MAP,30,57.709,END,0.000
0_20_0,MRA_MAP,12,57.767,END,0.000
0_9_0,MRA_MAP,11,57.840,END,0.000
0_49_0,MRA_MAP,26,58.133,END,0.000
0_24_0,MRA_MAP,19,58.186,END,0.000
0_2_0,MRA_MAP,10,58.464,END,0.000
0_66_0,MRA_MAP,28,59.011,END,0.000
0_36_0,MRA_MAP,16,59.252,END,0.000
0_19_0,MRA_MAP,18,59.304,END,0.000
0_8_0,MRA_MAP,8,59.360,END,0.000
0_67_0,MRA_MAP,15,59.370,END,0.000
0_21_0,MRA_MAP,25,59.435,END,0.000
0_40_0,MRA_MAP,21,59.701,END,0.000
0_33_0,MRA_MAP,13,59.989,END,0.000
0_18_1,MRA_MAP,0,60.027,START,
